"","hs"
"1",6.64533364896973
"2",6.37266696935209
"3",5.88666694626833
"4",5.38133358893295
"5",4.88200023188256
"6",4.39666687549713
"7",4.10933352851619
"8",4.12133352908616
"9",4.92800023406744
"10",5.60200026608072
"11",5.49600026104599
"12",5.4540002590511
"13",5.16200024518184
"14",4.67933355558974
"15",4.20533353307595
"16",3.87600018410012
"17",3.87266685060846
"18",4.13000019616447
"19",4.40533354257544
"20",4.6680002217181
"21",4.80133356138443
"22",4.94600023492239
"23",4.84000022988766
"24",4.6426668871815
"25",4.83733356309434
"26",5.49333359425267
"27",5.86533361192172
"28",6.01133361885635
"29",6.04466695377293
"30",5.99066695120807
"31",5.82400027662516
"32",5.622666933729
"33",5.64133360128229
"34",5.70400027092546
"35",5.73866693923871
"36",6.16666695956762
"37",6.29000029875897
"38",5.52466692907425
"39",5.08333357477871
"40",5.26666691681991
"41",4.97466690295065
"42",5.11733357639362
"43",5.00400023767725
"44",5.06533357392376
"45",5.22133358133336
"46",5.2960002515465
"47",5.09400024195202
"48",4.82400022912771
"49",4.63933355368984
"50",4.75000022561289
"51",5.01666690494555
"52",4.93400023435242
"53",4.51933354799015
"54",4.00133352338647
"55",3.55600016890094
"56",3.22933348671844
"57",2.97800014144741
"58",2.76133346448963
"59",2.59600012330338
"60",2.42000011494383
"61",2.26800010772422
"62",2.30733344292579
"63",2.44266678268711
"64",2.25333344036092
"65",2.07066676501806
"66",2.00733342867655
"67",2.04133343029146
"68",2.11333343371128
"69",2.1453334352312
"70",2.33066677736739
"71",2.63466679180662
"72",3.10200014733709
"73",3.3593334928931
"74",3.78533351312702
"75",4.41066687616209
"76",4.88266689858089
"77",5.21333358095338
"78",5.39266692280459
"79",5.33466692004974
"80",5.19000024651177
"81",5.08133357468372
"82",5.05000023986213
"83",5.0726669076054
"84",4.96133356898402
"85",4.70066688993635
"86",4.37800020794384
"87",4.09800019464456
"88",3.8566668498485
"89",3.55333350210761
"90",3.27800015569665
"91",3.10933348101874
"92",3.04400014458224
"93",2.99933347579402
"94",3.14666681612531
"95",3.47800016519614
"96",3.8440001825802
"97",4.04666685887302
"98",4.17600019834936
"99",4.2886668703674
"100",4.34866687321725
"101",4.31133353811068
"102",4.17466686495269
"103",4.08333352728126
"104",4.05533352595133
"105",3.94800018751994
"106",3.84933351616686
"107",3.87200018391013
"108",3.92266685298334
"109",3.8966668517484
"110",3.81000018096529
"111",3.75133351151211
"112",3.6500001733657
"113",3.47466683170448
"114",3.22800015332177
"115",3.13066681536535
"116",3.42533349602794
"117",3.85000018286519
"118",4.31866687179233
"119",5.08066690798538
"120",6.38266696982707
"121",6.73066698635618
"122",6.14066695833268
"123",5.47133359320772
"124",4.94800023501739
"125",4.43733354409536
"126",3.92266685298334
"127",3.48533349887778
"128",3.1506668163153
"129",2.9440001398325
"130",2.71333346220975
"131",2.33333344416072
"132",2.03133342981649
"133",1.98133342744162
"134",1.99800009489991
"135",1.9240000913851
"136",1.78400008473545
"137",1.69733341395234
"138",1.57333340806266
"139",1.4520000689663
"140",1.41466673385973
"141",1.42933340122302
"142",1.43333340141301
"143",1.40666673347975
"144",1.38800006592646
"145",1.40266673328976
"146",1.40866673357474
"147",1.40933340027307
"148",1.53600007295609
"149",1.83266675371366
"150",2.14400010183454
"151",2.56133345499014
"152",3.03733347759893
"153",3.32400015788153
"154",3.48133349868779
"155",3.57933350334254
"156",3.61333350495746
"157",3.65666684034901
"158",3.67733350799729
"159",3.63200017251074
"160",3.51466683360438
"161",3.37066682676474
"162",3.27133348871333
"163",3.19400015170686
"164",3.08866681337046
"165",2.95800014049746
"166",2.86800013622269
"167",2.82000013394281
"168",2.74266679693634
"169",2.67133346021486
"170",2.63933345869494
"171",2.6553334594549
"172",2.70333346173478
"173",2.77200013166294
"174",2.83933346819443
"175",2.89333347075929
"176",2.89800013764761
"177",2.83400013460778
"178",2.73933346344469
"179",2.70466679513144
"180",2.70266679503644
"181",2.70400012843311
"182",2.68666679427649
"183",2.72933346296971
"184",2.83133346781445
"185",2.89466680415596
"186",2.92333347218422
"187",2.9966668090007
"188",3.06933347911884
"189",3.09933348054377
"190",3.17400015075691
"191",3.19800015189685
"192",3.28800015617162
"193",3.30333349023325
"194",3.25933348814336
"195",3.2053334855785
"196",3.2053334855785
"197",3.25666682135003
"198",3.35533349270312
"199",3.35733349279811
"200",3.44000016339123
"201",3.48733349897278
"202",3.50066683293941
"203",3.5953335041025
"204",3.67866684139396
"205",3.90866685231837
"206",4.19066686571265
"207",4.25933353564081
"208",4.2106668666626
"209",4.05733352604633
"210",3.91333351920669
"211",3.79266684680867
"212",3.62933350571742
"213",3.6353335060024
"214",3.74266684443379
"215",3.98400018922985
"216",4.39333354200547
"217",4.67133355520976
"218",4.63133355330986
"219",4.41533354305041
"220",4.29866687084238
"221",4.30200020433404
"222",4.15733353079607
"223",3.79266684680867
"224",3.48933349906777
"225",3.32400015788153
"226",3.12800014857203
"227",2.83600013470277
"228",2.56000012159348
"229",2.3920001136139
"230",2.18600010382943
"231",1.96533342668166
"232",1.78200008464046
"233",1.71066674791897
"234",1.62466674383419
"235",1.51466673860947
"236",1.48000007029623
"237",1.59333340901261
"238",1.79066675171877
"239",1.96933342687165
"240",2.10333343323631
"241",2.22800010582432
"242",2.223333438936
"243",2.13733343485122
"244",2.11866676729793
"245",2.16333343608615
"246",2.16666676957781
"247",2.11333343371128
"248",1.99400009470992
"249",1.89266675656351
"250",1.7933334185121
"251",1.70333341423733
"252",1.68933341357236
"253",1.69533341385735
"254",1.67866674639905
"255",1.92666675817842
"256",2.5900001230184
"257",3.1906668182152
"258",3.52933350096767
"259",3.54333350163264
"260",3.50600016652606
"261",3.50800016662106
"262",3.61666683844912
"263",3.98666685602317
"264",4.26600020262413
"265",4.17533353165102
"266",4.12200019578449
